,Description,published
696,▎店家：勝王 ▎區域／鄰近地點：中山區/林森北 ▎用餐時間：12.15左右 ▎排隊狀況：很多人 ▎拉麵名稱／價格：舞菇醬煮干鴨肉柳麵/300 ▎配置：手揉麵 溏心蛋30/鴨肉60 上次吃是在舊址了  這次吃說實在有些讓人失望 手揉麵咬勁不錯  叉燒也處理適當 軟嫩不乾柴… 更多 溏心蛋算是少數吃到很入味的 熟度也是不錯的膏狀 湯的部分就感覺差強人意 說是煮干不過只有一點點煮干味  感覺都被另一個味道蓋過 喝了一口朋友點的瑪沙拉雞白湯也是  整碗都咖哩味喝不出哪裡有雞白湯 自己覺得口味上算是很普通 真的沒有其他人形容的那麼誇張的好吃 雖然我吃拉麵也不會過度追求高cp值 不過單就這一碗300的拉麵  不加點其他配料真的滿空虛的 大概不會再列入我考量的店中  溏心蛋算是少數吃到很入味的 熟度也是不錯的膏狀 湯的部分就感覺差強人意 說是煮干不過只有一點點煮干味  感覺都被另一個味道蓋過 喝了一口朋友點的瑪沙拉雞白湯也是  整碗都咖哩味喝不出哪裡有雞白湯 自己覺得口味上算是很普通 真的沒有其他人形容的那麼誇張的好吃 雖然我吃拉麵也不會過度追求高cp值 不過單就這一碗300的拉麵  不加點其他配料真的滿空虛的 大概不會再列入我考量的店中,10月2日下午3:13
697,"【#高雄拉麵新店爆報 】 ------------------------------------------------------------------ 丟系明天！！！！！
 #東京油組 巨蛋店 明天要開幕啦！
 #漢神巨蛋 #4樓 哦 ！ 還有打卡活動🤣
 #首六日均200元 ！！！！ 👆👆這個是重點啊！！ 不然價錢真的有些貴到不要不要🤣 雖然口味真的好吃 但是價位太高我也只能偶爾吃😅 不知道高雄人對少少幾塊肉與高價 接受度會是如何？ 唉唷！似乎只要寫日本 通常就會有人去吃啦🤣 ------------------------------------------------------------------ 🍜麵友們🍜 🏃各就各位！！！！！！！！！！🏃 ------------------------------------------------------------------ 更多高雄拉麵新店與限定消息
 歡迎搜尋我的 #FB拉麵粉專《 沐蝶※ 痴拉麵.Kaohsiung》
 或是追蹤我的 #拉麵ig唷！ www.instagram.com/kayien_ramenlover_kaohsiung.tw
🔥10/8高雄巨蛋店盛大開幕🔥 高雄獨家均一價200元 ❗❗  東京油組総本店進軍高雄，將在10/8盛大開幕❗ 10/8~10/13，開幕首六日來店消費拍照上傳FB或IG打卡 ⚡即可享油麵品項不分口味、麵量均一價200元⚡  ⚡⚡再送「組合A」兌換券（市價55元）⚡⚡⚡ ⚡⚡⚡高雄的油粉們千萬別錯過囉！！ ⚡⚡⚡ 🔺每帳號每次優惠乙碗，每碗限贈乙張兌換券 　 　… 更多 東京油組総本店在日本有33間分店，在2017年首次進駐海外在台灣開設分店，目前在台北有兩間分店，2020年10月8日開設高雄巨蛋店，也是高雄第一間分店。東京油組総本店主打「油拌麵」，打破台人熟悉拉麵吃法，讓愛吃麵的人能夠有不同選擇，直接以Q彈麵條一決勝負！ 　 　 🍜東京油組総本店 高雄巨蛋組 營業時間：11:00~22:00（依商場營業時間為準) 電話：07-522-3439 地址：高雄市左營區博愛二路777號4樓（漢神巨蛋4樓）
 🍜東京油組総本店 台北敦南組 營業時間：11:30-22:00 電話：02- 8772-7623 地址：台北市大安區敦化南路一段236巷5號(東區地下街12號出口)
 🍜東京油組総本店 台北華山組 營業時間：11:30-22:00 電話：02-2321-9553… 更多 
 東京油組総本店在日本有33間分店，在2017年首次進駐海外在台灣開設分店，目前在台北有兩間分店，2020年10月8日開設高雄巨蛋店，也是高雄第一間分店。東京油組総本店主打「油拌麵」，打破台人熟悉拉麵吃法，讓愛吃麵的人能夠有不同選擇，直接以Q彈麵條一決勝負！ 　 　 🍜東京油組総本店 高雄巨蛋組 營業時間：11:00~22:00（依商場營業時間為準) 電話：07-522-3439 地址：高雄市左營區博愛二路777號4樓（漢神巨蛋4樓）","10月7日下午11:39
10月5日下午6:00"
698,"🔥10/8高雄巨蛋店盛大開幕🔥 高雄獨家均一價200元 ❗❗  東京油組総本店進軍高雄，將在10/8盛大開幕❗ 10/8~10/13，開幕首六日來店消費拍照上傳FB或IG打卡 ⚡即可享油麵品項不分口味、麵量均一價200元⚡  ⚡⚡再送「組合A」兌換券（市價55元）⚡⚡⚡ ⚡⚡⚡高雄的油粉們千萬別錯過囉！！ ⚡⚡⚡ 🔺每帳號每次優惠乙碗，每碗限贈乙張兌換券 　 　… 更多 東京油組総本店在日本有33間分店，在2017年首次進駐海外在台灣開設分店，目前在台北有兩間分店，2020年10月8日開設高雄巨蛋店，也是高雄第一間分店。東京油組総本店主打「油拌麵」，打破台人熟悉拉麵吃法，讓愛吃麵的人能夠有不同選擇，直接以Q彈麵條一決勝負！ 　 　 🍜東京油組総本店 高雄巨蛋組 營業時間：11:00~22:00（依商場營業時間為準) 電話：07-522-3439 地址：高雄市左營區博愛二路777號4樓（漢神巨蛋4樓）
 🍜東京油組総本店 台北敦南組 營業時間：11:30-22:00 電話：02- 8772-7623 地址：台北市大安區敦化南路一段236巷5號(東區地下街12號出口)
 🍜東京油組総本店 台北華山組 營業時間：11:30-22:00 電話：02-2321-9553… 更多  東京油組総本店在日本有33間分店，在2017年首次進駐海外在台灣開設分店，目前在台北有兩間分店，2020年10月8日開設高雄巨蛋店，也是高雄第一間分店。東京油組総本店主打「油拌麵」，打破台人熟悉拉麵吃法，讓愛吃麵的人能夠有不同選擇，直接以Q彈麵條一決勝負！ 　 　 🍜東京油組総本店 高雄巨蛋組 營業時間：11:00~22:00（依商場營業時間為準) 電話：07-522-3439 地址：高雄市左營區博愛二路777號4樓（漢神巨蛋4樓）",10月5日下午6:00
699,"【情報】【新店開幕】【新北】 店名：東京板前豚骨拉麵 地點：文化路一段421巷1號（近捷運新埔站1號出口） 預訂開幕：9月底
 剛回家路上發現附近預備開的新拉麵店，查了一下原本好像是台南的店家。 已經有建立好的粉絲專頁。
 不知道有沒有台南的麵友吃過台南原店家？",9月9日下午8:50
700,"店名：東京醬油拉麵超極丸 鄰近：廣三 SOGO 時間：10/08 12:00 排隊：無 餐點：濃湯醬油溏心蛋 (麵硬湯鹹) 220
 醬油豚骨湯頭十分濃稠，入口先是脂肪的滑順口感，接下來浮現的是醬油的香氣，豚骨味淡淡地浮現。配上稍粗的麵條十分搭配，雖然麵條要咀嚼久一些，但因為湯頭較濃稠所以還是可以品嘗高湯的風味。
… 更多 麵條上附有一些切小塊的叉燒，算是小驚喜。叉燒稍硬，不過切得很薄所以還算好入口，上面灑的胡椒可以稍稍變換口味。
 溏心蛋 OK，筍乾 OK，整體而言算蠻好吃的。
 感覺很有鷹流系列的風味啊~
 老闆是不是很愛灌籃高手?!
 ===============================
 店名：麵屋hiro日新店 鄰近：台中醫院 時間：10/08 12:30 排隊：無 餐點：上湯魚介 160
 湯超甜，真的是超甜。說來慚愧，我喝不出任何魚介的風味。 麵超粗，我牙口不好吃起來很累，不過麵蠻好吃的就是了。 溏心蛋有點悶到的味道，再放下去應該就壞掉了。 雞肉叉燒好吃，有口感又有炙燒的香氣，個人覺得這是唯一的亮點。  麵條上附有一些切小塊的叉燒，算是小驚喜。叉燒稍硬，不過切得很薄所以還算好入口，上面灑的胡椒可以稍稍變換口味。",10月8日下午5:57
701,"▎店名:東京油組総本店 台湾 巨蛋店(高雄) ▎鄰近:漢神巨蛋內4樓 ▎時間:2020年10月08日  ▎排隊:上午11點50左右排，到大概一點左右入座 ▎品項:辣味噌油麵-W盛+A組（打卡特價200+55） ▎配置:半熟蛋+海苔+蔥花，麵320g
 前提：小弟油拌麵只吃過祥，所以可能會以祥為基準量比較
 油組來高雄新開了分店… 更多 我等了一小時多，可能因為人太多他們忙不過來，有的空位空了很久也沒有看到有店員帶位
 辣味噌W盛+A組合（半熟蛋和蔥花），跟醋與香味油拌開之後半熟蛋很成功的給麵一個滑順與解辣的感覺，讓辣味更加舒服了（不過沒什麼醋的味道） 蔥花脆脆的，香味油、蔥和海苔提供更多香味，整體來說不會像祥的油拌麵一樣會吃到膩
 他們會提供一杯洋蔥清湯，解膩用，整體味道就是鹽與洋蔥味
 W盛份量可能對正常人來說很多，但我只有六到七分飽左右，但是他們也沒提供白飯，不然把麵吃完後剩下的底料拌飯一定很讚
 價格原價（280）與份量來說我覺得是偏貴的，建議還是趁這時候特價趕緊嚐鮮
 小趣事： 入座時有一個帶相機來拍的大哥 「你很喜歡吃拉麵對吧」大哥 「？對啊」我詫異，難道我的臉一副就是非拉麵不可的樣子嗎 「那推你吃一家」他拿手機讓我看，上面是麵屋趣 「啊，我吃過了」我直接說 要不是我還補幾句我的感想，不然我覺得我真的是句點王XD  我等了一小時多，可能因為人太多他們忙不過來，有的空位空了很久也沒有看到有店員帶位",10月8日下午2:31
702,"▎店家：鐵丸十三堂(昆陽)(搬遷後試營運) ▎區域／鄰近地點：衛生福利部大門口 ▎排隊狀況：2小時 ▎用餐時間：10/6晚上八點 (試營運期間) ▎排隊狀況：打烊前壓線，無排隊 ▎拉麵名稱：豚骨拉麵(155),鐵丸特濃豚骨拉麵(195)
 鐵丸在過去被一些麵友認定為台拉，其實鐵丸在用心度上比其他台拉店都好很多，個人認為當時的鐵丸只要小改善一些，甚至把特番變成定番，就可以成為一間不錯的拉麵店… 更多 前陣子在粉專有看到他搬遷(也搬在舊店附近) 不知道新店面如何，所以就去吃吃看，原以為會跟原本一樣味道，殊不知搬家以後整個味道以及麵體有大改變，留言可以看到我過去的資料照，就知道改變有多大了
 先說說特濃豚骨拉麵，這碗湯底是使用豚骨，裡面有混合雞高湯的味道，以及醬油(甘口)打底，特濃的鹹味相較於普通豚骨拉麵多一些，不過兩碗表現上都很OK 以195的價格，他配料給的蠻不手軟的，兩片三層肉(炙燒過)，兩片叉燒以及三片舒肥雞，舒肥雞使用的是鹽味以及胡椒做調味 湯頭相較於兩年半以前去吃，已經調整過味道了，從白色的純豚骨改為略為深色，而且添加醬油以及雞高湯的做法 在整體的味道上來說，相較於過去吃的比較濃一些，在鹹度上已經接近一些日系連鎖拉麵(屯京,花月嵐等) 以價格來說，比連鎖拉麵便宜，湯頭也還OK的情況下，這碗算是物超所值 麵體的部分也有更換，之前在舊址使用的麵條比較容易變軟爛，Q度略顯不足 這一次搬家過後麵體聽老闆說有更換過，補足了之前麵體的一些缺憾，至少我覺得這次吃的真的是拉麵了 而且湯頭的濃淡可以調整，適合帶新手(我是帶我老婆，她很難得的完食，代表口味也是一般大眾可接受)
 在南港到昆陽一帶，這間店可以說是很有CP值的選擇之一，適合當商業午餐 或者朋友偶爾聚會的地方，相較於一些店，這間店的座位數還算多，價格以台北市的均價來說偏低 這次搬遷也讓我看到因為吃拉麵的人口變多，大家吃拉麵的口味也逐漸在轉變，一些過去被迫調整味道符合台灣人口味的店家也開始發揮實力了 當然，畢竟這還是試營運期間，希望之後能讓人有耳目一新，甚至很有記憶點的拉麵  前陣子在粉專有看到他搬遷(也搬在舊店附近) 不知道新店面如何，所以就去吃吃看，原以為會跟原本一樣味道，殊不知搬家以後整個味道以及麵體有大改變，留言可以看到我過去的資料照，就知道改變有多大了",10月9日上午1:17
703,"※店家：熊二拉麵 ※區域／鄰近地點：捷運永春站 ※用餐時間：10/03(六) 11:40左右 ※排隊狀況：無排隊，店內只有2個人 ※價格：野菜拉麵(濃厚豚骨)230元，叉燒飯50元
 中秋沒肉能烤，就想吃拉麵，就找到家裡附近的熊二踩雷 原來在蔥拉麵跟肉圈圈中間搖擺的，但…覺得這幾天沒什麼吃菜應該健康一下就選了野菜拉麵
 麵上來後有點傻眼，豆芽菜堆的跟山一樣…但也還好，豆芽菜我的愛… 更多 但夾了一扒…他豆芽菜竟然是水煮沒調味的…就算是要調和湯的鹹味，堆得跟山一樣放在上面也有點礙事，就都撥到他給的小碗裡
 麵體本身算中卷麵吧？有點了麵硬但硬度還是有點不夠，巴湯能力還算不錯。 湯的部分我點濃厚豚骨，喝起來不鹹還算溫順。配菜有附神奇的箭筍(這不是很貴嗎？)，熟度跟調味都一級棒的糖心蛋!  另外有附炙燒梅花叉燒4片，但覺得那個肥度…應該是五花不是梅花，吃完2片就覺得負擔很重非常膩…好險一開始沒點肉增量…
 個人想法是： 無調味的豆芽菜給太多了…如果湯像鷹流系統那樣又濃又鹹當然給豆芽菜就沒問題，但熊二的湯又有點清淡，結果那堆豆芽我還要另拌佐去吃(桌上的辣醬還不錯吃!)，不然可以像鬼金棒或豚人那樣調味一下會比較好吃，否則真的有點…淡。 p.s 箭筍真的頗好吃，不知道能不能單點箭筍XD  但夾了一扒…他豆芽菜竟然是水煮沒調味的…就算是要調和湯的鹹味，堆得跟山一樣放在上面也有點礙事，就都撥到他給的小碗裡",10月4日下午1:14
704,"本社團首PO，紀念一下。：D 大家也可以比照下面的範例進行PO文，期待大家分享你們的拉麵文！
 1.地點/店家：台北／蘭丸中山二店 2.用餐時間：5/11，下午5點 3.排隊狀況：無 4.拉麵名稱/價格：清湯拉麵／99，投了一顆蛋30
 今天被公司外派去市區(靠近市府站)上課，本來下課後要去北無雙吃看看。
 結果提早下課，4:30就結束，北無雙還沒開就離開去中山。 本來計畫是改要吃鬼金棒的老葛的醬油拉麵...
 但是人算不如天算，經過蘭丸二店看到開門而且門口沒有排隊!!! 我頭一次遇到蘭丸沒有排隊可以入場的情況...
 而且只剩最後一個位置，根本就是為了我阿!!! (自以為)
 二話不說馬上改蘭丸，老葛的醬油拉麵就要下次了。XDD
 新的點餐機還不太會用，想說我都選好了錢也丟了，怎麼還沒給單，原來是要按出單... 一 一
 而且單子出來後要很用力才抽的出來。
 店員在我剛進門就有提到可以換鈔票的事情，這點覺得貼心。 不然之前在吃極匠和延吉蘭丸都要確認到底有沒有百鈔。
 因為昨天補慶祝母親節吃了一堆火鍋肉片，今日就點最簡單的清湯，雖然上面有小小小小片的肉...XDD
 這碗剛上來沒有冒煙，原來是因為上面有一層油的關係。 要保持湯的溫度~
 好在我旁邊就是一台電扇，剛好幫我把麵吹涼XDD
 就是想吃麵，但是又不想吃太多99這碗真是好選擇。 選了麵硬，之後加了一球，中間把蛋丟進湯裡，等想到要吃已經過太久，蛋黃都熟了，覺得難過，好浪費... TAT
 最後我要說... 我最後一個進去吃的，結果是最早出來的。= = 這到底是誰的問題呢...",2016年5月11日下午10:49
705,"▎店家：隱家拉麵（赤峰店） ▎區域／鄰近地點：捷運雙連站1號出口 ▎用餐時間：10/7 12:30 ▎排隊狀況：前面八位，候位20分鐘 ▎拉麵名稱／價格：濃厚擔擔麵（220）、 叉燒拼盤 （100） ▎配置：中（180g)丶中捲麵、大辛，麵硬
 本來想說吃看看海老，不過是我自己搞錯了，之前有是因為真鯛沒有才有品項，既然都來了那只好轉戰其他品項，雖然自己不耐辣，還是想吃看看擔擔麵
… 更多 不得不說隱家上麵的速度很快，中間還可以打招呼跟問候，可見上麵流程都有一定的熟練度，麵看上去感覺很辣，喝了一口湯，整體湯溫保持不錯，入口有花椒勁度中後段慢慢擴散的口中，喝起來順口而不濃厚，油菜在轉味方面很不錯，畢竟也算重口拉麵很容易有膩感，隱家中捲麵口感我蠻喜歡的，上次吃真鯛的時候就覺得很好吃不過那次是粗麵，對我來說應該點小辛就很剛好，中間加了半匙清湯才能喝完，喜歡吃辣的人這碗很適合，從南部上來覺得台北變冷，吃完很暖
 叉燒拼盤一樣是雞腿叉燒>豬叉燒＞雞叉燒，不過這次雞叉燒感覺比上次還好，吃起來有些檸檬調味跟雞本身鹹味，雞腿叉燒跟豬叉燒維持水準都很不錯，100快一樣吃的很開心  不得不說隱家上麵的速度很快，中間還可以打招呼跟問候，可見上麵流程都有一定的熟練度，麵看上去感覺很辣，喝了一口湯，整體湯溫保持不錯，入口有花椒勁度中後段慢慢擴散的口中，喝起來順口而不濃厚，油菜在轉味方面很不錯，畢竟也算重口拉麵很容易有膩感，隱家中捲麵口感我蠻喜歡的，上次吃真鯛的時候就覺得很好吃不過那次是粗麵，對我來說應該點小辛就很剛好，中間加了半匙清湯才能喝完，喜歡吃辣的人這碗很適合，從南部上來覺得台北變冷，吃完很暖",10月7日下午2:29
706,"▎店家：辰拉麵 ▎區域／鄰近地點：永和區文化路 ▎用餐時間：9/18(五) ▎排隊狀況：2小時 ▎拉麵名稱：鹽味雞湯拉麵
 現場排隊人數不算少， 採用門外登記叫號方式， 這應該是我吃過的拉麵排最久的一次！ 輪到闆娘幫我們點餐時，… 更多 原本滿滿煩躁感的我瞬間被闆娘的朝氣、活力、親切融化。 (絕對沒誇張，不信自己來體驗就知道)
 鹽味雞湯拉麵整體來說不錯， 湯頭滑順不死鹹蠻好喝的！！ 細麵軟硬適中，叉燒是瘦肉不乾柴， 麵吃完店家會親切一直問是否要加湯加麵(免費)， 整體來說是在我心中前十名的拉麵 (｡♥‿♥｡)
 依稀還記得當天吃拉麵時店內撥放著：小さな恋のうた， 搭配著闆娘朝氣 + 熱血老闆做出來的拉麵， 上班一天的勞累真的會被淨化呀呀呀呀~~~ 不說了，這週我還要二訪一次XD  原本滿滿煩躁感的我瞬間被闆娘的朝氣、活力、親切融化。 (絕對沒誇張，不信自己來體驗就知道)",10月6日上午9:03
707,#高雄拉麵新店訊息 感謝麵友子超提供資訊 ！ 北高雄昌盛路（享溫馨附近） 販售的雞白湯拉麵店 ！ 算是北高極少見的雞白湯店 ！ 不知道味道如何 ？！ 這個位置似乎臨近搬遷後 改名雨前花巷的清川 然後雨前歇業了 不知道會不會有關 ？（猜測😂）… 更多 但可能不是😂因為寫小情侶開的 我尚未吃過  大家如果想吃吃看可以去嘗鮮看看 ！ 北高近期4家新店： 麵屋趣、臥龍、一支炭、品麵 感覺高雄拉麵市場不再集中於市中心了 希望北高又可以多一個好選擇😋 希望不要踩雷了就好 好怕分享又害大家踩雷 所以我都是分享一些 看起來品項覺得比較特別的新店  但可能不是😂因為寫小情侶開的 我尚未吃過  大家如果想吃吃看可以去嘗鮮看看 ！ 北高近期4家新店： 麵屋趣、臥龍、一支炭、品麵 感覺高雄拉麵市場不再集中於市中心了 希望北高又可以多一個好選擇😋 希望不要踩雷了就好 好怕分享又害大家踩雷 所以我都是分享一些 看起來品項覺得比較特別的新店,7月23日下午11:04
708,做完內視鏡，見天空沒下雨就從台北騎車到桃園吃個拉麵。約 11:10 到達麵屋豚介，看到店家休息的公告，真的很衰，最近吃拉麵都會碰到不定時的店休…。只好轉往翔大ラーメン原味豚骨高湯很棒很濃稠，有小小的豬肉臊味，很好，雖然不要求可以像博多ㄧ幸舍這樣的臭，但是有把豚骨的味道熬出來就是好喝啊。湯頭的油脂已經跟高湯融合，看不到小塊的脂肪，喝起來也頗順口，鹹度普通偏淡，一般大眾應該都很好駕馭。麵條選偏硬還算 OK，細麵配濃湯不用過度的咀嚼可以好好的享受濃湯美味。筍乾 OK，溏新淡 OK，叉燒肉雖然是舒肥但是有一塊應該是邊邊所以還蠻硬的。整體來說很不錯的一碗麵，值得再訪。==========================店名：麺家 勝八鄰近：林口長庚時間：10/07 12:30排隊：有，前方 3 位，等候時間約 10 分鐘餐點： 豚骨塩味拉麵 (麵硬) 180 / 溏心蛋 30雖然是寫豚骨拉麵，但是湯頭是酸的?! 應該是用柑橘類作的調味，加上超奶的湯頭，一整個奇妙的體驗。自家製麵的麵條也是蠻特別的，一口咬下整個麵條是坍掉的，不僅沒有麵硬的口感，這感覺就像麵粉的筋度沒有出來，也是一整個奇妙的體驗。,10月7日下午3:32
709,"▎店家：豚人拉麵復興店 京都一乗寺豚人ラーメン ▎區域／鄰近地點：捷運忠孝復興站 ▎用餐時間：2020/10/7 2140 ▎排隊狀況：無，到店直接入座 ▎拉麵名稱／價格：天龍醬油（中）250 ▎配置：預設
 看完轉播從信義走出來，就問朋友有什麼9點後還開的拉麵店，挑了豚人二店、幸龍、神山，後來選了豚人二店，可能想看老闆娘吧（？
… 更多 等了一下朋友，朋友推薦天龍醬油，朋友點了冷麵，點了中聽說是300G的麵量，我想我應該可以，不過上麵還真的蠻驚人，還好在隱家沒吃很飽，不然可能就吃不完，二店小菜真的不錯吃，冰冰涼涼配麵也很搭，看老闆娘的反應真的很有趣的，在吃麵時蠻愜意
 吃有點飽，雖然自己不常吃二郎系但這個二郎會讓人一直想吃下去，不得不說那個麵真的配二郎，如果我狀態好應該可以很快就吃完，250還可以調整菜跟蒜，大碗還壓在300內真的佛心來著，對於大食量的人應該會很滿足  等了一下朋友，朋友推薦天龍醬油，朋友點了冷麵，點了中聽說是300G的麵量，我想我應該可以，不過上麵還真的蠻驚人，還好在隱家沒吃很飽，不然可能就吃不完，二店小菜真的不錯吃，冰冰涼涼配麵也很搭，看老闆娘的反應真的很有趣的，在吃麵時蠻愜意",10月8日上午11:27
710,"▎店家：山嵐拉麵（公館店） ▎區域／鄰近地點：公館站1號出口/墨洋拉麵 ▎用餐時間：2020/10/07 13:00 ▎排隊狀況：12:40到店門口，店裡客滿，我前面有5個男生、2個女生在排隊，大概等了20分鐘左右 ▎拉麵名稱／價格：赤湯（大辣）·沾麵／ 270元 ▎配置：麵碗已含叉燒兩片，沾醬碗內有一點高麗菜，額外點蔥／ 30元，坐吧台位置
… 更多 到臺大出差，剛好趁機踩踩這裡的店點，看到山嵐，想說沒吃過豚骨背脂湯頭的拉麵，決定試試看。 本來想要點蔥爆彈拉麵，可是聽到前面的女生說沾麵很好吃，於是就點了赤湯（大辣）·沾麵再加蔥。 整體搭配看起來很清爽，麵條是我覺得很剛好的粗度，而且女店員很認真的沖過冷水，所以口感很Q彈。👍🏻 沾醬部分對我來說溫度太溫冷，所以很油膩的感覺，感覺只是麵條裹辣油，辣度也只有一點點（我個人愛吃辣，口味比較重）。 叉燒比一般拉麵的叉燒肉稍微厚一點，肉是涼的，油脂味感覺就比較明顯，沾沾醬吃的話我有點受不了，所以決定先吃掉肉之後，喝水解膩再慢慢吃麵。
 大概花20分鐘完食，老實說再訪的話我應該只會選減脂的赤湯拉麵，沾麵在我心中目前還是鬼金棒第一。  到臺大出差，剛好趁機踩踩這裡的店點，看到山嵐，想說沒吃過豚骨背脂湯頭的拉麵，決定試試看。 本來想要點蔥爆彈拉麵，可是聽到前面的女生說沾麵很好吃，於是就點了赤湯（大辣）·沾麵再加蔥。 整體搭配看起來很清爽，麵條是我覺得很剛好的粗度，而且女店員很認真的沖過冷水，所以口感很Q彈。👍🏻 沾醬部分對我來說溫度太溫冷，所以很油膩的感覺，感覺只是麵條裹辣油，辣度也只有一點點（我個人愛吃辣，口味比較重）。 叉燒比一般拉麵的叉燒肉稍微厚一點，肉是涼的，油脂味感覺就比較明顯，沾沾醬吃的話我有點受不了，所以決定先吃掉肉之後，喝水解膩再慢慢吃麵。",10月7日下午2:46
711,"店家：麵屋黑平
 地點：東門永康街
 用餐時間：2020.10.07  6點左右
 排隊狀況：無，我1位
 配置：味玉沾麵（大）+玉子拌飯
 價位：NT280 （230+50）
 路過剛好朋友推薦就進去了，先講結論，經濟實惠，這是我最直白的心得。首先，本店麵量選擇依序為（150、250、350g），350g真的粗飽非常OK，沾麵的部分因為帶有微辣所以蠻開胃的，整體吃下來飽足感十足，不過也得說麵體跟料雖不差但對樓主來說偏普，飯類也是，拉麵的部分我不清楚，朋友是說也是普但經濟實惠量很足，就等各位自己去試了XD簡言以環境、服務、價位來說，cp值還是很高的，況且菜單種類頗多，路過還是可以當作一個不錯的用餐選擇。",10月7日下午7:43
712,"■店家資訊：貳水拉麵 ■臨近地點：高雄|三民|高應大（高科大建工校區） ■拉麵品項：限定-蒜味覺醒（$250） ■拉麵配置：鹹、麵硬 ----------------------------------------------- ★適合對象： 喜愛重濃蒜味 喜愛濃厚膏狀湯感 重口味愛好者 喜愛厚厚叉燒與五花… 更多 喜愛入口即化叉燒 ----------------------------------------------- 這碗拖得有些久，因為那陣子身體比較不舒服加上太忙，家裡後來又有些事，所以耽擱到現在才寫。
 首先，在此先感謝 #貳水拉麵 老闆，幫忙分享之前家裡事情的文章！真的非常誠心的感謝您！ 也非常感謝其他協助分享的店家： 【#初拉麵台鋁店】店長、【#麵柒八】老闆、【#一支炭】 的老闆
 還有熱心的麵友Benson、亞實媽咪、fish、毓軒與其他麵友和網友，大家真的很溫暖，誠心感謝你們🙇 ----------------------------------------------- 這碗是貳水期間限定的第一碗！也應該是近期我吃的最濃的拉麵了！開心的是這是獨具店家自我特色的一碗拉麵！不過當天因為身體不是很舒服，加上後來還有事要忙，所以沒有吃完外帶打包回家。
 【湯底】 👉濃度影片放最後照片一張  喜愛入口即化叉燒 ----------------------------------------------- 這碗拖得有些久，因為那陣子身體比較不舒服加上太忙，家裡後來又有些事，所以耽擱到現在才寫。",10月6日上午9:32
713,"▎店家：柑橘 Shinn ▎區域／鄰近地點：敦化圓環（？ ▎用餐時間：2020/10/06 17:10 ▎排隊狀況：開店第一批 ▎拉麵名稱／價格：柑橘醬油煮干清湯 ▎配置：併桌叉燒（？）+叉燒飯
 久違的柑橘-三訪
 前兩次吃過油麵跟柑橘蛤蜊雞白湯… 更多 這次想說吃看看清爽的的煮干（？
 湯頭感覺顆粒沒有很細但口感上蠻清爽的 這次來變弱了沙漏跑完只吃完2/3的麵😅 煮干的香氣跟鮮味不錯 不過少了車苦味取而代之的是柑橘浸泡的香 整體算是很清爽風格拉麵 湯底似乎有加一些辛香料讓口感比較豐富
 叉燒飯上面的綠味噌配一點湯吃比較剛好 如果直接吃感覺有一點太鹹
 整體充滿柑橘味是很清爽的一碗😋  這次想說吃看看清爽的的煮干（？",10月6日下午10:24
714,秋匠開了好一陣子一直找不到機會來踩點，今天終於如願！秋匠的位置在原山嵐台灣第一間創始店的舊址，原先店內的裝潢配置也幾乎保留下來。店內維持只有吧台座位，內場有兩位日籍師傅。秋匠主打使用［牛骨＋魚貝］的湯頭，也算是台灣比較少見的使用牛骨的店家。台北的話另外也只有誠屋主打牛骨湯頭，不過和秋匠不同的是白湯而非清湯，所以秋匠也算是補齊了牛骨拉麵的湯頭呈現拼圖~秋匠在社團內比較常被大家說咖哩飯必點，然後也推薦平日中午的商業套餐搭配；不過我自己沒辦法吃那麼多，還是先吃拉麵了。另外還有蝦味拉麵、拌麵可以選擇，此外最近也有推出豚骨湯頭的拉麵！豚骨這款我想應該是要因應一般大眾對拉麵的印象而推出的吧~我自己是覺得或許可以參考半熟堂的做法，就是變成1/2+1/2的方式，讓大家任何時段都可以這樣搭配組合，我現在去半熟堂也都是用這樣組合套餐吃兩種想吃的又不太會吃太撐。而且那天我晚上用餐時間去店內包含我只有3個客人，雖然有麵友說有遇過客滿的情況，但是這樣時好時壞，不免有點擔心...▎醬油拉麵:秋匠的清湯有鹽味、醬油兩款，我這次吃的是醬油。配料有銀芽(有去頭尾的豆芽)、玉米(不少麵友不愛的配料)、蔥、切絲竹筍。這邊我覺得比較特別的是筍干的呈現，就是我們常在台灣羹湯內出現的筍絲，就是那樣的呈現！這我還是第一次在拉麵上看到，蠻特別的~湯頭我喝第一口我就覺得有很熟悉的醬油味道，有點忘記是在牛肉麵上還是什麼吃過。湯隱隱的會嚐到牛特有的味道，不過不會過重，有帶出牛的料理的一個特色！另外尾韻會有鮮甜的味道浮現，湯頭整體是很舒服的，所以喝完沒有問題。配料調味上皆沒有蓋過湯，而且跟湯的味道也調味的很搭配。叉燒也蠻軟嫩好入口的，麵體則是呈現軟Ｑ，讓整體吃這碗麵非常順口。這對我來說是一碗順口好吃的一杯，尤其食材上的特殊這味道也只有在秋匠才有。希望店家可以撐住，讓這少有的味道保留在台灣台北,10月6日上午11:47
